		2019-01-02	Środa	Pływanie	60	90									1800	Technika	Bardzo lekko czuję lewą stopę, po fizjo już prawie nic, dobre czucie wody, Rehabilitacja #8 	https://connect.garmin.com/modern/activity/3265563664
		2019-01-18	Piątek	Pływanie	60										1800	Technika	Jest lepiej niż wczoraj, troszeczkę czuję w wodzie, ogólnie lepiej, lekko czuję, jak chodzę	https://connect.garmin.com/modern/activity/3310542376	
		2019-01-20	Niedziela	Pływanie	55										1600	Technika + Strokes Rates Ramp Test	Jest troszkę lepiej niz wczoraj, w wodzie prawie nic już nie czuję	https://connect.garmin.com/modern/activity/3316468284	
		2019-01-22	Wtorek	Pływanie	55	90									1600	Technika	Poniedziałek - Rehabilitacja #12 - igły, było znacznie gorzej niż w niedzielę, przy każdym kroku czułem stopę. Wtorek - już prawie nic nie czuję w wodzie, jest lepiej niż wczoraj, ale nadal czuję przy chodzeniu, IBUPROM	https://connect.garmin.com/modern/activity/3322170025
		2019-01-23	Środa	Pływanie	65	20									1900	Technika	W wodzie już nic nie czuję, jest lepiej niż wczoraj - prawie nie czuję przy chodzeniu, po basenie troszkę gorzej, IBUPROM	https://connect.garmin.com/modern/activity/3324214363	
		2019-01-24	Czwartek	Siłownia	70											Core + ręce	Zdecydowanie lepiej niż wczoraj, nie czuję prawie nic jak chodzę, na ściance też nic nie czuję, IBUPROM		
		2019-01-25	Piątek	Pływanie	65										2000	Technika	Jest troszkę lepiej niż wczoraj, na basenie nic nie czuję, dopiero wieczorem trochę czuję, jak chodzę, IBUPROM	https://connect.garmin.com/modern/activity/3329271754	
		2019-01-26	Sobota	Siłownia	30											Core	Jest podobnie jak wczoraj, delikatnie czuję, jak chodzę, IBUPROM		
		2019-01-26	Sobota	Pływanie	55	20									2200	CSS - 15x100m/10s @1:55	Bardzo lekko czuję stopę, ale tylko jak pływam bez bojki, IBUPROM	https://connect.garmin.com/modern/activity/3331716556	
		2019-01-28	Poniedziałek	Pływanie	60										1700	Technika	W niedzielę wieczorem trochę lepiej niż w sobotę, dzisiaj jeszcze troszkę lepiej, jak wstaję po rozciąganiu jest dużo lepiej, IBUPROM	https://connect.garmin.com/modern/activity/3337339462
		2019-01-28	Poniedziałek	Siłownia	40											Core	IBUPROM		
		2019-01-29	Wtorek	Pływanie	55	20									1800	CSS - 15x100m/10s @1:54	Rano po rozciąganiu prawie nie czuję stopy, Po basenie czuję bardziej stopę, Środa - Rehabilitacja #13 - igły tylko kaletki, jest dużo lepiej, prawie nie czuje jak chodzę, tylko jak dotykam	https://connect.garmin.com/modern/activity/3340006397	
		2019-01-31	Czwartek	Siłownia	70	20										Core + ręce	Rano czuję stopę, W ciągu dnia trochę czuję stopę, po siłce jest gorzej, Wieczorem - IBUPROM		
		2019-02-02	Sobota	Pływanie	60	20									1700	Technika	W piątek - Rotawirus, cały dzień przeleżałem. Ze stopą cały czas tak samo, dzisiaj czuję stopę, jak chodzę, po basenie jeszcze gorzej. IBUPROM	https://connect.garmin.com/modern/activity/3350354436	
		2019-02-04	Poniedziałek	Pływanie	60	20									1800	CSS - 15x100m/10s @1:53	Wczoraj dużo lepiej, prawie nie czuję stopy podczas chodzenia, dzisiaj rano po rozciąganiu rozcięgna nic nie czuję podczas chodzenia, w ciągu dnia bardzo dobrze, po basenie znów gorzej, IBUPROM	https://connect.garmin.com/modern/activity/3355874482
		2019-02-05	Wtorek	Siłownia	60	30										Core	W ciągu dnia lekko czuję podczas chodzenie, po siłce jest podobnie		
		2019-02-06	Środa	Pływanie	60	50									1600	Technika	Rano po rozciąganiu lekko czuję, w ciągu dnia dużo lepiej, prawie nie czuję podczas chodzenia i bardzo mało podczas dotykania - chyba najlepiej od początku terapii, na basenie nie czuję w ogóle stopy, po basenie znowu troszkę gorzej	https://connect.garmin.com/modern/activity/3361213481	
		2019-02-07	Czwartek	Siłownia	70	60										Core + ręce	Rano po rozciąganiu prawie nic nie czuję, w ciągu dnia podobnie jak wczoraj, Rehabilitacja #14 - po rehabilitacji lepiej, nie czuję podczas chodzenia		
		2019-02-10	Niedziela	Rower	70	45	135	151	87	211	1,59	50	142	30,3	35	Tlen	Wysokie tętno, Poprawa, prawie nie czuję stopy podczas dotykania, po rowerze nawet trochę lepiej.  	https://connect.garmin.com/modern/activity/3371470888	https://www.strava.com/activities/2136690844
		2019-02-10	Niedziela	Pływanie	60	30									1800	Technika	Na basenie nie czuję stopy, po basenie troszkę gorzej, ale i tak lepiej niż tydzień temu	https://connect.garmin.com/modern/activity/3372418936	
		2019-02-11	Poniedziałek	Pływanie	55										1900	CSS - 15x100m/10s @1:52	Dobre, szybkie pływanie bez zmęczenia, w ogóle nie czuję stopy na basenie
		2019-02-11	Poniedziałek	Siłownia	35	40										Core	Rano czuję stopę, ale w ciągu dnia jest dobrze, na siłce w ogóle nie czuję. We wtorek prawie nie czuję jak dotykam, ale czuję bardziej, jak chodzę - takie spore napięcie. We środę troszkę lepiej przy chodzeniu, rano po rozciąganiu prawie nie czuję. Rehabilitacja #15 - igły - po igłach mocno czuje stope, ale na srodku, pięty i po wewnętrznej stronie prawie nie czuje przy dotykaniu.		
		2019-02-14	Czwartek	Pływanie	60										1700	Technika	Rano prawie w ogóle nie czuje przy dotykaniu, na basenie nic nie czuję. W ciagu dnia bardzo malo czuje, przy dotykaniu prawie nic	https://connect.garmin.com/modern/activity/3382609809	
		2019-02-14	Czwartek	Siłownia	60	100										Core + ręce	Po siłce dużo gorzej - czuję przy każdym kroku, czuję przy dotykaniu		
		2019-02-16	Sobota	Skitury	190	80	145	178					1078		16	Skitury - Tatry - Kasprowy	W piątek trochę lepiej w ciągu dnia, ale wciąż czuję przy dotykaniu, wieczorem już bardziej. Sobota - rano trochę czuję przy dotykaniu, ale bardziej piętę, na skiturach dopiero pod koniec bardziej czuję, wieczorem mocno czuję piętę, a mało po wewnętrzej stronie. Czuję przy każdym kroku.	https://connect.garmin.com/modern/activity/3388227250	https://www.strava.com/activities/2153237865
		2019-02-17	Niedziela	Rower	100	40	136	155	85	226	1,68	80	361	31,3	52	Tlen	Rano lepiej, po rowerze dużo lepiej, prawie nie czuję po wewnętrznej stronie przy dotykaniu	https://connect.garmin.com/modern/activity/3392482921	https://www.strava.com/activities/2155523699
		2019-02-17	Niedziela	Pływanie	60	20									1700	Technika	Na basenie nic nie czuję	https://connect.garmin.com/modern/activity/3392435529	
		2019-02-18	Poniedziałek	Rower	90	60	134	154	84	241	1,82	76,3	311	30,2	46	Tlen	W ciągu dnia trochę czuję stopę, na rowerze czuję lekko tylko podczas mocnych zrywów, wieczorem prawie w ogóle nie czuję podczas dotykania	https://connect.garmin.com/modern/activity/3394348928	https://www.strava.com/activities/2158046880
		2019-02-19	Wtorek	Rower	80	110	133	149	84	227	1,74	67,6	174	31,1	42	Tlen	Trochę czuję podczas chodzenia i podczas dotykania, Rehabilitacja #16 - igły. Na drugi dzień lepiej, pod koniec dnia nie czuje podczas dotykania już prawie nic	https://connect.garmin.com/modern/activity/3397068461	https://www.strava.com/activities/2160230531
		2019-02-21	Czwartek	Pływanie	60	10									2100	CSS - 15x100m/10s @1:51	W ciągu dnia prawie nie czuję podczas dotykania, Na basenie nic nie czuję. Lekkie pływanie z dużym zapasem	https://connect.garmin.com/modern/activity/3402459284	
		2019-02-21	Czwartek	Siłownia	60	50										Core + ręce	Po siłce znacznie gorzej, czuję mocno podczas dotykania. Na drugi dzień w ciągu dnia znowu lepie, pod koniec dnia czuję podczas dotykania.		
		2019-02-23	Sobota	Rower	115	20	129	148	85	257	2,04	111,1	364	29,9	55	Tlen	Rewelacyjne EF- prawie życiówka, trochę czuję stopę w ciągu dnia podczas chodzenia i dotykania	https://connect.garmin.com/modern/activity/3408278880	https://www.strava.com/activities/2169430050
		2019-02-24	Niedziela	Pływanie	60										1700	Technika	Super czucie wody, bardzo szybkie pływanie na stroke rate (56). Rano bardzo dobrze ze stopą, na basenie nic nie boli, po basenie też bardzo dobrze.	https://connect.garmin.com/modern/activity/3411069614	
		2019-02-25	Poniedziałek	Skitury	210	60	134	167					924		12.5	Tatry - Przełęcz pod Kopą	Rano prawie nic nie czuję, na skiturach lepiej niż ostatnio, po skiturach też trochę lepiej niż ostatnio, wieczorem po kąpieli prawie nic nie czuję.	https://connect.garmin.com/modern/activity/3414709536	https://www.strava.com/activities/2174738973
		2019-02-26	Wtorek	Pływanie	60	60									2100	CSS - 15x100m/10s @1:49	Super czucie wody, stopy nie czuję na basenie.	https://connect.garmin.com/modern/activity/3417947904	
		2019-02-26	Wtorek	Siłownia	40	15										Core	Rehabilitacja #17. Dzisiaj rano po skiturach jest dużo lepiej niż ostatnio, w ciągu dnia prawie nic nie czuję nawet jak dotykam.		
		2019-02-27	Środa	Rower	90	35	129	143	83	235	1,85	70	201	31,1	44	Tlen	Czuję nogi po skiturach. Delikatnie czuję podczas chodzenia stopę. 	https://connect.garmin.com/modern/activity/3420326726	https://www.strava.com/activities/2179331403
		2019-02-28	Czwartek	Pływanie	60										1700	Technika	Dobre czucie wody, stopy nie czuję na basenie.		
		2019-02-28	Czwartek	Siłownia	60	10										Core + ręce	Delikatnie czuję czasami stopę na siłce.		
		2019-03-01	Piątek	Rower	95	70	135	161	85	243	1,83	89,5	252	32,2	50	Tlen	Troszkę dzisiaj czuję stopę. Na rowerze wysokie tętno, po rowerze czuję stopę.	https://connect.garmin.com/modern/activity/3425509714	https://www.strava.com/activities/2183560361
		2019-03-02	Sobota	Rower	135	40	136	158	85	251	1,91	135,5	712	29,7	66	Tlen	Po rowerze lepiej ze stopą.	https://connect.garmin.com/modern/activity/3428681483	https://www.strava.com/activities/2186183205
		2019-03-03	Niedziela	Pływanie	65	10									1800	Technika	Słabe czucie wody. Trochę czuję stopę po basenie podczas chodzenia. Po kąpieli lepiej.	https://connect.garmin.com/modern/activity/3431407119	
		2019-03-04	Poniedziałek	Rower	80	80	121	138	80	194		48,5	70	28,6	38	Tlen / regeneracja	Chory - rotawirus, bardzo słaby trening, zero mocy. Rehabilitacja #18 - igły. Trochę czuję stopę podczas chodzenia w ciągu dnia.	https://connect.garmin.com/modern/activity/3434667541
		2019-03-05	Wtorek	Pływanie	45										1700	CSS - 15x100m/10s @1:48	Dobre czucie wody, pływanie z dużym zapasem. Najszybsze 100m/10s przerwy ever. W ciągu dnia dużo lepiej ze stopą, rano bardzo dobrze, prawie nic nie czuję przy dotykaniu.	https://connect.garmin.com/modern/activity/3437660799	
		2019-03-05	Wtorek	Siłownia	80	40										Core + stabilizacja (rehabilitacja)	Po treningu trochę czuję stopę.		
		2019-03-06	Środa	Rower	100	60	133	162	84	252	1,82	100,1	123	31,7	52	Sweet spot - 2x10min	HR/W: 153/310, 155/315. Forma dokładnie jak rok temu o tej porze. Na początku delikatnie czuje achillesa, potem już nie. Po rowerze lepiej ze stopą. Ogólnie delikatnie lepiej niż wczoraj, wieczorem prawie nic nie czuję.	https://connect.garmin.com/modern/activity/3439930288	https://www.strava.com/activities/2195263538
		2019-03-07	Czwartek	Siłownia	80	60										Core + ręce + stabilizacja	Po treningu trochę czuję stopę.		
		2019-03-08	Piątek	Rower	80	40	140	168	82	266		91,1	220	30,3	40	Sweet spot - 2x15min	HR/W: 156/310, 160/315. Bardzo mocny wiatr (50km/h). Czuję stopę podczas chodzenia.	https://connect.garmin.com/modern/activity/3445024404	https://www.strava.com/activities/2199337550
		2019-03-09	Sobota	Pływanie	70	40									1800	Technika	Delikatnie czuję stopę na basenie	https://connect.garmin.com/modern/activity/3447274647	
		2019-03-10	Niedziela	Rower	150	60	139	157	83	217	1,61	115,6	312	31,9	80	Czasówka - tlen	Wysokie tętno, na kacu, bardzo słaby dzień, mocno wieje. Przez cały dzień czuję delikatnie stope podczas chodzenia.	https://connect.garmin.com/modern/activity/3450758887	https://connect.garmin.com/modern/activity/3450758887
		2019-03-11	Poniedziałek	Pływanie	60										1800	Technika	Szybkie pływanie. Cały dzień czuję stopę wyraźnie, na basenie czuję stopę - jest najgorzej od miesiąca.	https://connect.garmin.com/modern/activity/3454160167
		2019-03-12	Wtorek	Rower	115		132	155	85	242	1,89	108,3	318	30,2	58	Tlen	Tętno już normalne. Lepiej niż wczoraj ze stopą.	https://connect.garmin.com/modern/activity/3456964048	https://www.strava.com/activities/2208964388
		2019-03-12	Wtorek	Siłownia	60	60										Core + stabilizacja (rehabilitacja)	Po treningu ze stopą tak samo.		
		2019-03-13	Środa	Rower	80	60	140	163	86	272		83,1	64	33,1	43	Sweet spot - 2x15min	HR/W: 152/314, 158/316 - lepiej niż ostatnio. W ciągu dnia podobnie, jak wczoraj - delikatnie czuję podczas chodzenia i dotykania.	https://connect.garmin.com/modern/activity/3459297389	https://www.strava.com/activities/2210844511
		2019-03-14	Czwartek	Pływanie	65										2100	CSS - 15x100m/10s @1:47	Bardzo słaby dzień na basenie, ciężki trening. Ze stopą dużo lepiej, na basenie nic nie czuję.	https://connect.garmin.com/modern/activity/3461597040	
		2019-03-14	Czwartek	Siłownia	85	40										Core + ręce + stabilizacja	Na treningu dużo lepiej ze stopą,  nic nie czuję podczas chodzenia, po treningu też dobrze, delikatnie czuje podczas dotykania.		
		2019-03-15	Piątek	Pływanie	60	30									1700	Technika	Dziś dużo lepiej niż wczoraj, prawie nie czuję stopy, dopiero po basenie czuję.	https://connect.garmin.com/modern/activity/3464989159	
		2019-03-16	Sobota	Rower	90		142	164	86	279		86,9	71	32,7	38	Sweet spot - 2x20min	HR/W: 156/315, 158/315. Dziś podobnie, jak wczoraj - trochę czuję w ciągu dnia, jak chodzę, ale bardzo mało przy dotykaniu	https://connect.garmin.com/modern/activity/3467624151	https://www.strava.com/activities/2217589085
		2019-03-16	Sobota	Siłownia	30	60										Core + stabilizacja	Po treningu tak samo ze stopą		
		2019-03-17	Niedziela	Rower	195	60	144	168	87	239	1,69	177,9	648	31,5	101	Tlen + tempo	Wysokie tętno na zmęczonych nogach, mocny wiatr. Po treningu i bieganiu w parku za dziećmi (górka kilka razy) jest gorzej, wieczorem jest źle	https://connect.garmin.com/modern/activity/3470245584	https://www.strava.com/activities/2219785918
		2019-03-19	Wtorek	Pływanie	60	60									1900	CSS - 15x100m/10s @1:47	Najszybsze 100m/10s przerwy ever. Dzień wcześniej - Rehabilitacja #19, jest dużo lepiej niż w niedzielę, ale dalej trochę czuję. Na basenie prawie nie czuję stopy, po basenie trochę gorzej. 	https://connect.garmin.com/modern/activity/3475912801
		2019-03-19	Wtorek	Siłownia	45	20										Core + stabilizacja	Wieczorem czuję lekko stopę.		
		2019-03-20	Środa	Skitury	165	70	137	167					1030		8.7	Tatry - Salatyn	Rano trochę czuję stopę, po skiturach mocno czuję, wieczorem jest źle.	https://connect.garmin.com/modern/activity/3479597361	https://www.strava.com/activities/2227371077
		2019-03-21	Czwartek	Rower	55		108	115	88	169		25,7	53	27,5	25,5	Regeneracja	Niskie tęno. Ze stopą dużo lepiej niż wczoraj.	https://connect.garmin.com/modern/activity/3482177803	https://www.strava.com/activities/2229468177
		2019-03-21	Czwartek	Siłownia	85	60										Core + ręce + stabilizacja			
		2019-03-22	Piątek	Pływanie	60										1500	Technika	W ciągu dnia dużo lepiej ze stopą, bardzo delikatnie czuję podczas chodzenia. Na basenie nic nie czuję.	https://connect.garmin.com/modern/activity/3485158559	
		2019-03-22	Piątek	Bieganie	15	20	118	127					0	05:51	2	Trucht	Nie czuję stopy podczas biegania, po bieganiu też jest ok.	https://connect.garmin.com/modern/activity/3485666401	
		2019-03-24	Niedziela	Rower	85	30	138	169	86	260		93,7	169	32	46	Sweet spot - 2x15min	HR/W: 156/311, 159/315 - bardzo słaby dzień, czuję nogi, wysokie tętno, po rowerze czuję stopę, dzień wcześniej trochę czuję stopę podczas chodzenia, dzisiaj jest gorzej	https://connect.garmin.com/modern/activity/3491144368	https://www.strava.com/activities/2236869952
		2019-03-24	Niedziela	Siłownia	60	50										Nogi + stabilizacja	Wieczorem bardziej czuję stopę, na siłce mocno czuję stopę podczas chodzenia		
		2019-03-25	Poniedziałek	Bieganie	20	30	121	129					2	06:09	3	Trucht	Czuję stopę podczas chodzenia. Na bieganiu czuję stopę przez pierwszy 1km, potem już odpuszcza. Po bieganiu jest ok, wieczorem czuję bardziej stopę.	https://connect.garmin.com/modern/activity/3495262858
		2019-03-26	Wtorek	Rower	115	30	134	159	86	242	1,83	94,3	435	29,4	54	Tlen	W ciągu dnia czuję stopę podczas chodzenia. Na rowerze trochę czuję stopę i delikatnie achillesa, po rowerze bardziej czuję stopę.	https://connect.garmin.com/modern/activity/3497662654	https://www.strava.com/activities/2242189373
		2019-03-26	Wtorek	Siłownia	40	30										Core + stabilizacja	Czuję stopę dosyć mocno wieczorem		
		2019-03-27	Środa	Skitury	180	60	134	170					1032		14	Tatry - Kasprowy	Na skiturach delikatnie czuję stopę, po skiturach jest gorzej, wieczorem jest źle	https://connect.garmin.com/modern/activity/3501039838	https://connect.garmin.com/modern/activity/3501039941
		2019-03-28	Czwartek	Pływanie	65										1800	CSS - 8x200m/20s @1:47	Dobre tempo - lepiej niż rok temu w wakacje. Rano duzo lepiej, prawie nie czuję stopy podczas chodzenia - jest dobrze! Na basenie nie czuję w ogóle stopy.	https://connect.garmin.com/modern/activity/3503199947	
		2019-03-28	Czwartek	Siłownia	80	60										Core + ręce + stabilizacja + łydki	Na siłce troszkę czuję stopę.		
		2019-03-29	Piątek	Skitury	200	40	132	158					1055		13.4	Tatry - Kopa Kondracka	Na skiturach nic nie czuję, po skiturach dużo lepiej, niż ostatnio, dopiero wieczorem delikatnie czuję stopę - jest dobrze!	https://connect.garmin.com/modern/activity/3506511659	https://www.strava.com/activities/2249517697
		2019-03-30	Sobota	Rower	80	35	137	174	85	281		98,5	648	26	33.5	Wytrzymałość siłowa 4 strefa (5x6min), podjazdy pod zoo	Dosyć wysokie tętno, Suma interwałów: 32min, HR/W: 158/342, 161/343, 161/346, 163/349, 163/350. Dzisiaj cały dzień dużo lepiej, po rowerze też dobrze	https://connect.garmin.com/modern/activity/3510062869	https://www.strava.com/activities/2252518265
		2019-03-30	Sobota	Pływanie	60										1700	Technika	Na basenie bardzo delikatnie czuję stopę. Wieczorem praiw	https://connect.garmin.com/modern/activity/3510608274	
		2019-03-31	Niedziela	Rower	200	60	143	167	88	257		211,6	1029	31,1	103	Tlen + tempo	Czuje nogi, słaby dzień. Po rowerze prawie nie czuję stopy.	https://connect.garmin.com/modern/activity/3512638777	https://www.strava.com/activities/2254597859
		2019-03-31	Niedziela	Siłownia	40											Core + stabilizacja + łydki	Po ćwiczeniach bardzo delikatnie czuję stopę.		
		2019-03-31	Niedziela	Bieganie	25	20	126	133					0	05:46	4	Trucht	Czuję stopę przez pierwsze 3km, potem odpuszcza, po bieganiu troszkę czuję stopę.	https://connect.garmin.com/modern/activity/3514078437	
		2019-04-01	Poniedziałek	Rower	65		109	122	87	152		24,5	78	24,4	27	Regeneracja	W ciągu dnia troszkę czuję stopę podczas chodzenia, pod koniec dnia lepiej.	https://connect.garmin.com/modern/activity/3516073995	https://www.strava.com/activities/2257340238
		2019-04-02	Wtorek	Skitury	115	60	135	172					204		13.6	Tatry - Karb, Beskid, Beskid, Kasprowy	Cały dzień bardzo dobrze, po skiturach też dobrze ze stopą.	https://connect.garmin.com/modern/activity/3519521684	https://www.strava.com/activities/2260103035
		2019-04-03	Środa	Rower	80	120	141	165	88	266		91,9	186	32,3	44	Sweet spot - 2x15min	HR/W: 159/316, 159/316. Cały czas wysokie tętno, forma stoi w miejscu. Fizjoterapia #20 - igły, przed fizjo prawie nie czuje stopy - jest dobrze!	https://connect.garmin.com/modern/activity/3521999125	https://www.strava.com/activities/2262142851
		2019-04-03	Środa	Pływanie	60										1700	Technika	Na basenie nie czuję stopy.	https://connect.garmin.com/modern/activity/3523129003	
		2019-04-04	Czwartek	Pływanie	60										2100	CSS - 8x200m/20s @1:47	Tak samo jak tydzień temu. Na basenie nie czuję stopy.	https://connect.garmin.com/modern/activity/3524752809	
		2019-04-04	Czwartek	Siłownia	80	60										Core + ręce + stabilizacja + łydki	Po siłce trochę czuję stopę.		
		2019-04-05	Piątek	Rower	100	20	134	170	83	271		117,5	742	25,5	42	Wytrzymałość siłowa 4 strefa 5x6min, podjazdy pod zoo	Czuję nogi po siłce, trochę niższe tętno niż ostatnio, Suma interwałów: 32min, HR/W: 156/341, 159/348, 161/351, 162/350, 162/347	https://connect.garmin.com/modern/activity/3527777422	https://www.strava.com/activities/2266836334
		2019-04-05	Piątek	Bieganie	20		128	134						05:45	4	Trucht	Czuję stopę przez pierwsze 3km, potem odpuszcza, po bieganiu troszkę czuję stopę.	https://connect.garmin.com/modern/activity/3528331506	
		2019-04-05	Piątek	Siłownia	30	60										Stabilizacja + łydki	Pod koniec dnia czuję stopę.		
		2019-04-06	Sobota	Rower	95	60	129	142	89	231	1,84	80,4	299	32,4	50	Tlen	Czuję nogi od początku, mimo to niskie tętno. Na rowerze nie czuję stopy, po rowerze troszkę czuję.	https://connect.garmin.com/modern/activity/3530118829	https://www.strava.com/activities/2268737705
		2019-04-07	Niedziela	Rower	200	20	144	171	88	260		220	1448	30,3	101	Tempo	Zmęczone nogi. Na rowerze i po rowerze w ogóle nie czuję stopy.	https://connect.garmin.com/modern/activity/3533942994	https://www.strava.com/activities/2271919053
		2019-04-07	Niedziela	Siłownia	60											Nogi + stabilizacja	Czuję stopę podczas ćwiczeń.		
		2019-04-07	Niedziela	Bieganie	30	60	127	132					0	05:45	5	Trucht	po 4km stopa odpuszcza, po bieganiu czuję stopę.	https://connect.garmin.com/modern/activity/3535641504	
		2019-04-09	Wtorek	Pływanie	60										1700	Technika	Bardzo dobre czucie wody, jest moc i siła w pociągnięciach.	https://connect.garmin.com/modern/activity/3540001508
		2019-04-10	Środa	Rower	80	15	127	141	88	229		65,3	193	31,3	40	Tlen		https://connect.garmin.com/modern/activity/3543500186	https://www.strava.com/activities/2279647866
		2019-04-10	Środa	Pływanie	60										2000	CSS - 8x200m/20s @1:47	Świetny trening, najszybsze 200m - tak samo jak 26.05.2018, ale tam były przerwy 3-4 razy dłuższe. Nie czuję stopy na basenie.	https://connect.garmin.com/modern/activity/3542803165	
		2019-04-10	Środa	Bieganie	30	15	128	135					2	05:24	5.2	Trucht	Najlepsze bieganie od początku kontuzji, prawie nie czuję stopy przez cały bieg. Po bieganiu dobrze.	https://connect.garmin.com/modern/activity/3544074375	
		2019-04-10	Środa	Siłownia	45	40										Core + stabilizacja + łydki	Po ćwiczeniach trochę czuję stopę. Na drugi dzień czuję stopę podczas chodzenia.		
		2019-04-12	Piątek	Pływanie	55										1700	50x25m - 30s	W ciągu dnia delikatnie czuję stopę	https://connect.garmin.com/modern/activity/3549261713	
		2019-04-12	Piątek	Siłownia	60	60										Nogi + stabilizacja	Dużo lepiej ze stopą, niż na ostatniej siłce na nogi.		
		2019-04-13	Sobota	Bieganie	35	45	135	140					4	05:02	7.2	Trucht	Bardzo delikatnie czuję nogę, dobre bieganie. Wieczorem dosyć mocno czuję stopę.	https://connect.garmin.com/modern/activity/3551367933	
		2019-04-14	Niedziela	Rower	80	45	143	165	88	274		73,8	50	32,9	33	Sweet spot - 2x15min	HR/W: 158/315, 160/320. Czuję nogi po bieganiu, wysokie tętno, słaby trening. Dzisiaj dużo lepiej ze stopą.	https://connect.garmin.com/modern/activity/3556060577	
		2019-04-15	Poniedziałek	Skitury	150	20	129	168					637		12.3	Tatry - Skrajna Turnia		https://connect.garmin.com/modern/activity/3558758657	https://www.strava.com/activities/2292246865
		2019-04-15	Poniedziałek	Siłownia	45	15										Core + stabilizacja + łydki			
		2019-04-16	Wtorek	Rower	80	60	139	174	87	289		96	661		36	Wytrzymałość siłowa 4 strefa 5x6min, podjazdy pod zoo	Czuję nogi po skiturach, bardzo wysokie tętno. Suma interwałów: 31min, HR/W: 157/342, 161/351, 163/351, 164/350, 165/350	https://connect.garmin.com/modern/activity/3561212183	https://www.strava.com/activities/2294235761
		2019-04-17	Środa	Pływanie	65										2000	50x25m - 30s			
		2019-04-17	Środa	Siłownia	60											Nogi + stabilizacja			
		2019-04-17	Środa	Bieganie	35	60	138	144					4	04:54	7.2	Tlen 7km	Na początku czuję stopę, potem już odpuszcza, wieczorem czuję stopę.	https://connect.garmin.com/modern/activity/3565004132	
		2019-04-18	Czwartek	Siłownia	80	60										Ręce + Core + stabilizacja + łydki			
		2019-04-19	Piątek	Rower	95	40	145	166	90	280		120,3	502		53	Sweet spot - 2x20min	HR/W: 158/315, 160/315, nadal wysokie tętno	https://connect.garmin.com/modern/activity/3570637347	https://www.strava.com/activities/2302183634
		2019-04-19	Piątek	Pływanie	65	30									2300	CSS - 7x200m/20s @1:47	Zmęczony po rowerze i po siłce, słaby trening.	https://connect.garmin.com/modern/activity/3571486494	
