		2023-01-02	Poniedziałek	Bieganie	60	90	149	179					7	04:38	11.4	bs 3km+ rytmy (najlepiej stadion) 4x200/200+ 2x400(tempo 3.10-20)/400 w truchcie+1x800(tempo 3.20-25)/400 w truchcie+2x400/400+2-4x200/200+2km schłodzenia, REHABILITACJA - pachwina	Bardzo wysokie tętno, ale trzymam tempo, 200m w 35s, 400m w 1:16
		2023-02-12	Niedziela	Bieganie	70	50	143	177					172	05:20	11	Siła biegowa	Pod koniec trochę czuję prawego Achillesa, wieczorem Dosyć mocno czuję lewą kostkę	
		2023-02-13	Poniedziałek	Siłownia	75	40										Ręce + core + pośladki + beret	Czuję prawego Achillesa
		2023-02-14	Wtorek	Bieganie	50	100	140	150					10	04:35	10,4	BS 12-14km w tlenie	Czuję prawego Achillesa, po bieganiu znowu biodro, wieczorem czuję mocno 	
		2023-02-15	Środa	Bieganie	70	40	147	176					3	04:21	13,6	BS 3km+interwały 3x1500(3.25-27)/1,5-2min odpoczynku+1km truchtu+3x1km(3.20-23)/1,5-2min odpoczynku+2-3km BS 	3x1500@3:30 + 2x1km@3:20 + 500m@3:00, czuję prawego Achillesa przez cały bieg, po biegu mocno czuję prawe biodro, jakbym naciągnął 	
		2023-02-15	Środa	Siłownia 	60											Ręce + core + pośladki + beret		
		2023-02-16	Czwartek	Skitury	185	30							1068		15	Kasprowy z Szymkiem 		
		2023-02-17	Piątek	Bieganie	75	35	150	174					17	04:14	15,1	BS 3km+4km(tempo progowe, około 3.40-45)/3min odpocynku w truchcie+3km(3.40-45)/3min+1km(3.15-20)+2-3km BS	Czuję prawego Achillesa, po bieganiu czuję biodro, 4km/3:46/160, 3km/3:46/163, 1km@3:20/166	
		2023-02-18	Sobota	Skitury 	185	30	139	170					1870		17,7	Spytkowice x 14	KOM, najszybsze wejścia ever, czuję moc w nogach	
		2023-02-19	Niedziela	Pływanie	45	30									1100	Technika (czucie wody + 6x25nogi) 		
		2023-02-20	Poniedziałek	Bieganie	85	40	147	168					520	05:49	10,3	Kopiec x 7	Delikatnie czuję prawego Achillesa, zwłaszcza na początku, po bieganiu znowu biodro, wieczorem czuję mocno
		2023-02-20	Poniedziałek	Siłownia	60	100										Ręce + pośladki + beret		
		2023-02-22	Środa	Bieganie	65	40	148	180					6	04:43	12,1	rozruch 3km+4x200(34-36sek)/200+2x400(1.12-15)/400truchtu+1x800(tempo 3.10)/2 min odpoczynku+2x400/400+4x200/200+1-2km truchtu	Najszybszy trening na stadionie od 3 lat, pod koniec czuję prawego Achillesa, od połowy czuję coraz bardziej biodro	
		2023-02-22	Środa	Siłownia 	60	60										Ręce + pośladki + beret	REHABILITACJA - czwartek stopa + biodro	
		2023-02-25	Sobota	Skitury 	210	200	136	162					1957		20,1	Spytkowice x 15	Jeszcze niższe tętno niż tydzień temu, coraz lepsza forma, REHABILITACJA - piątek stopa + biodro	
		2023-02-26	Niedziela	Pływanie	50										1600	1200m ciągiem + technika + 3x25nogi		
		2023-02-27	Poniedziałek	Siłownia	85	60										Ręce + pośladki + beret + dynamika	REHABILITACJA - biodro + Achilles, mimo długiego odpoczynku od biegania - nadal czuję biodro i Achillesa
		2023-02-28	Wtorek	Bieganie	65	40	143	170					338	05:24	11,2	Kopiec x 4	Delikatnie czuję prawego Achillesa i biodro	
		2023-03-01	Środa	Skitury 	250		137	164					1750		23,4	Kopa + Pośredni Goryczkowy 		
		2023-03-01	Środa	Siłownia 	40	30										Ręce + core		
		2023-03-03	Piątek	Skitury 	280	100	111	149					1046		18	Łopata z Szymkiem 	REHABILITACJA - biodro 	
		2023-03-05	Niedziela	Pływanie	50										1200	Technika (czucie wody + 6x25nogi) 		
		2023-03-06	Poniedziałek	Bieganie	60		150	162					10	04:24	11.4	rozruch 2km i 10-12 km po 4.10 nie szybciej +1-2km truchtu	Prawie nie czuję ostatnio Achillesa, od 7km czuję biodro
		2023-03-06	Poniedziałek	Siłownia	60	80										Ręce + pośladki + beret + dynamika	REHABILITACJA - biodro	
		2023-03-08	Środa	Bieganie	80	100	152	179					451	05:15	11,4	Kopiec x 6	Delikatnie czuję prawego Achillesa tylko na pierwszym podbiegu, czuję biodro od początku, ale wcześniej przed bieganiem dużo lepiej z pachwiną podczas rozciągania, chyba pomógł tejp	
		2023-03-08	Środa	Siłownia 	65	50										Ręce + pośladki + beret		
		2023-03-10	Piątek	Bieganie	90	130	160	177					496	05:11	11,8	Lasek 	Delikatnie czuję prawego Achillesa tylko na pierwszym podbiegu, delikatnie czuję biodro, po bieganiu jest lepiej niż ostatnio, REHABILITACJA - biodro	
		2023-03-11	Sobota	Narty	100	20							50		19	Malinowe Brdo		
		2023-03-12	Niedziela 	Siłownia 	55	20										Ręce + dynamika		
		2023-03-12	Niedziela	Pływanie	50										1600	1200m ciągiem + technika + 3x25nogi		
		2023-03-13	Poniedziałek	Bieganie	85		152	176					516	05:35	10,4	Kopiec x 7	Bardzo Delikatnie czuję biodro, jest lepiej niż w poprzednim tygodniu
		2023-03-13	Poniedziałek	Siłownia	50	50										Ręce + pośladki + beret	REHABILITACJA - biodro - wtorek	
		2023-03-15	Środa	Bieganie	90	160	152	179					457	05:40	11,1	Sprinty pod kopiec - 6x150m + 6x400m	Bardzo Delikatnie czuję biodro, jest lepiej niż w poniedziałek	
		2023-03-15	Środa	Siłownia 	40	50										Ręce + pośladki + beret		
		2023-03-17	Piątek	Skitury 	250	100	125	165					1586		20,3	Beskid z Anią	Od początku czuję pośladek i biodro, podczas powrotu samochodem jest słabo, REHABILITACJA - biodro 	
		2023-03-18	Sobota	Bieganie	95	30	153	172					556	05:11	13,8	Lasek 	Wysokie tętno	
		2023-03-19	Niedziela	Skitury 	280	60	124	168					1960		22	Pośredni Goryczkowy z Anią i Szymkiem + 2 x Kasprowy 	Dużo lepiej z biodrem i ze stopą	
		2023-03-20	Poniedziałek	Bieganie	70		144	172					266	05:26	11	Sprinty pod górkę - 10x150m + 3x400m + 5 x schodki na maksa	Z biodrem jest ciut lepiej niż w zeszłym tygodniu
		2023-03-20	Poniedziałek	Siłownia	40	50										Ręce + beret		
		2023-03-22	Środa	Bieganie	55	90	152	180					3	04:19	10,7	BS 2km + 6x1km(3.15-3.20)/1,5min odpoczynku + 2 BS 	Bardzo wysokie tętno na interwałach, na początku lekko czuję prawego Achillesa 	
		2023-03-22	Środa	Siłownia 	30	40										Ręce		
		2023-03-23	Czwartek	Rower	105	40	145	174	86	295		124	1035	25,7	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Bardzo wysokie tętno, nie czuję mocy w nogach, bardzo ciężki trening, Suma interwałów: 48min, HR/W: 157/350, 158/350, 161/350, 162/351, 161/351, 162/346, 163/351, 163/350	
		2023-03-24	Piątek	Rower	70	130	142	159	85	273		74	34	33,4	39	Sweet spot - 2x15min	 HR/W: 153/315, 154/320	
		2023-03-25	Sobota	Bieganie	110	50	151	172					700	05:11	16,5	Lasek 	Rano lekko czuję prawego Achillesa, chyba po rowerze, Pod koniec delikatnie czuję lewa stopę 	
		2023-03-25	Sobota	Siłownia 	30											Ręce	Późnym Wieczorem po bieganiu bardzo mocno czuję prawego Achillesa, na drugi dzień jest źle, ledwo chodzę, z pachwiną lepiej	
		2023-03-27	Poniedziałek	Siłownia	65	40										Ręce + beret + dynamika + pośladki
		2023-03-28	Wtorek	Bieganie	70	90	146	176					6	04:52	12,1	4km + (300m@56s/200m + 200m@35s/200m)*7 + 2km	Wysokie tętno, ale trening na wyczucie niezbyt mocny, Delikatnie czuję prawego Achillesa, delikatnie czuję odcinek lędźwiowy i pośladek po prawej stronie, REHABILITACJA - pachwina 	
		2023-03-29	Środa	Skitury 	270	70	143	164					2262		25,5	Beskid razy 2 + Pośredni Goryczkowy + Kasprowy 	Nie czuję w ogóle stopy na skiturach, drugi najmocniejszy trening na skiturach 	
		2023-03-30	Czwartek	Bieganie	90		144	163					525	05:30	11,3	Kopiec x 7	Niższe tętno , po wczorajszych skiturach czuję trochę lewą stopę	
		2023-03-31	Piątek	Rower	70	130	137	155	86	282		79	34	33,5	37	Sweet spot - 15min + 20min	Najniższe tętno na sweet spot od 2021, jeden z najlepszych treningów sweet spot ever, HR/W: 147/320, 150/325	
		2023-04-01	Sobota	Bieganie	115	60	149	168					718	05:16	17,9	Lasek 	Delikatnie czuję prawego Achillesa, po bieganiu trochę czuję lewą stopę	
		2023-04-01	Sobota	Siłownia	30											Ręce		
		2023-04-02	Niedziela	Bieganie	60	50	138	144					10	04:33	10,1	Spokojny tlen	Czuję lewą stopę od zewnętrznej strony, po połowie dystansu już lepiej	
		2023-04-02	Niedziela	Pływanie	50										1200	technika + 4x25nogi	Wieczorem po bieganiu bardzo źle z lewą stopą od zewnętrznej strony 	
		2023-04-03	Poniedziałek	Rower	70		135	152	85	285		76	34	32,5	36	Sweet spot - 15min + 18min	Najniższe tętno na sweet spot od 2021, jeden z najlepszych treningów sweet spot ever, HR/W: 147/325, 147/325
		2023-04-03	Poniedziałek	Siłownia	60	50										Ręce + beret	Dosyć mocno czuję lewą stopę od zewnętrznej strony, odpuściłem dzisiaj bieganie	
		2023-04-04	Wtorek	Bieganie	65		142	173					6	04:36	11,9	4km + (300m@55s/200m + 200m@34s/200m)*7 + 2km	Nadal lekko czuję lewą stopę od zewnętrznej strony, duży niższe tętno niż tydzień temu i szybsze bieganie	
		2023-04-05	Środa	Bieganie	90		143	163					526	05:30	11,4	Kopiec x 7	Lekko czuję lewą stopę	
		2023-04-05	Środa	Siłownia	50	50										Ręce + beret + dynamika + łydki		
		2023-04-06	Czwartek	Pływanie	55	60									2000	3x600m bardzo spokojnie, oddechy co 50m - pierwszy interwał: 7,6,5,4,3,7,6,5,4,3,7,6 drugi i trzeci: 8,7,6,5,4,3,8,7,6,5,4,3		
		2023-04-07	Piątek	Bieganie	80	20	149	169					0	04:25	15,3	stadion. rozruch 3km+ 12-15x400( tempo zawodów na 10km, czyli gdzieś 3.25-30)/45 sek odpoczynku+2-3km BS	Dosyć wysokie tętno	
		2023-04-09	Niedziela	Bieganie	125	50	156	175					1148	06:40	17,9	Beskid Niski - 3 razy Magura Wątkowska 	Wysokie tętno, delikatnie czuję lewą stopę, najwięcej przewyższenia - tyle samo co Karkonoszman, drugi najmocniejszy trening - patrząc na relative effort 	
		2023-04-09	Niedziela 	Rower	65		103	130	78	139		18	281	21,2	22,7	Rege z Anią 		
		2023-04-10	Poniedziałek	Bieganie	75	30	142	146					0	04:32	15,1	Tlen, stadion
		2023-04-11	Wtorek	Rower	95	30	139	161	85	280		103	1001	27,5	42	Podjazdy pod Jasłem 	Niskie tętno	
		2023-04-12	Środa	Bieganie	70		143	171					6	04:33	12,2	4km + 4x(400m@1'20/400m + 300m@55s/200m + 200m@34s/200m) + 2km	Nadal lekko czuję lewą stopę od zewnętrznej strony, truskawkę niższe tętno niż tydzień temu, ostatnie interwały mocniej - 300m@52s + 200m@32s	
		2023-04-12	Środa	Siłownia	60	30										Ręce + beret + dynamika + łydki		
		2023-04-13	Czwartek	Rower	75	90	138	158	88	291		86	34	34,2	40	Sweet spot - 2x20min	Trochę wyższe tętno niż tydzień temu, czuję nogi po bieganiu, HR/W: 151/325, 151/325	
		2023-04-14	Piątek	Bieganie	80	40	146	168					463	05:27	10,4	Kopiec x 6	Lekko czuję lewą stopę, rozcięgno podeszwowe	
		2023-04-15	Sobota	Bieganie	105	50	149	166					794	05:24	19	Lasek 	Dosyć mocno czuję lewą stopę, rozcięgno podeszwowe, lekko czuję prawego Achillesa 	
		2023-04-16	Niedziela 	Rower	100	30	140	164	88	283		121	747	29,8	52	Tempo podjazdy 	Czuję nogi po bieganiu 2 dni pod rząd podbiegów. Dosyć niskie tętno, zwłazcza na podjazdach 	
		2023-04-16	Niedziela	Pływanie	50										1400	Technika + 3*200m		
		2023-04-17	Poniedziałek	Siłownia	60	30										Ręce + beret + dynamika
		2023-04-19	Środa	Bieganie	75	30	143	178					6	04:41	14,2	4km + 3x200m@34s/200m + 6x400m@1'16/400m + 3*200m@33-32s/200m + 3km	Bardzo komfortowo 400tki w tym tempie, był duży zapas, mimo wysokiego tętna, czułem moc w nogach	
		2023-04-19	Środa	Siłownia	30	100										Ręce + beret + dynamika + łydki		
		2023-04-20	Czwartek	Bieganie	70	30	141	147					9	04:34	14,1	Tlen	Lekko czuję lewą stopę	
		2023-04-21	Piątek	Skitury 	305	40	128	166					1778		24,9	Skrajna + Kasprowy z Michałem Suski 		
		2023-04-22	Sobota	Bieganie	120	20	150	167					836	05:18	18,6	Lasek 	Dosyć niskie tętno, Pod koniec delikatnie czuję lewą stopę	
		2023-04-23	Niedziela 	Rower	125	30			86	290		145	1089	28,5	57	Tempo podjazdy 	Czuję nogi po bieganiu i skiturach.	
		2023-04-23	Niedziela	Pływanie	45										1200	Technika		
		2023-04-24	Poniedziałek	Bieganie	65	40	134	139					11	04:47	12,1	Regeneracja
		2023-04-24	Poniedziałek	Siłownia	45	100										Ręce + dynamika + pośladki 		
		2023-04-26	Środa	Bieganie	75		144	174					6	04:30	14,5	4km + 3x200m@34s/200m + 6x400m@1'12/400m + 3*200m@31s/200m + 3km	Niższe tętno niż tydzień temu na szybszych inne	
		2023-04-26	Środa	Siłownia	35	30										Ręce + pośladki 		
		2023-04-27	Czwartek	Bieganie	65	20	138	142					11	04:47	12,1	Tlen		
		2023-04-28	Piątek	Rower	105	60	143	168	85	300		132	1062	26,2	45	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Pomiar tętna niedokładny, Suma interwałów: 49min, HR/W: 350, 351, 350, 352, 352, 352, 158/354, 160/357	
		2023-04-29	Sobota 	Bieganie	130	50	152	169					1159	05:51	19,6	Beskid Niski - 3 razy Magura Wątkowska 	Najwięcej przewyższenia ever	
		2023-05-01	Poniedziałek	Skitury 	355	40	129	160					2456		25,5	Skrajna + Pośredni Goryczkowy + Beskid z Bartkiem Czado
		2023-05-02	Wtorek	Rower	110	50	102	145	77	178		49	477	23,9	45	Rege z Anią		
		2023-05-03	Środa	Bieganie	75	30	143	174					0	04:27	14,6	4km + 3x200m@34s/200m + 6x400m@1'12/400m + 3*200m@33s/200m + 4km	Niższe tętno niż tydzień temu, w tlenie już schodzi poniżej 4:25	
		2023-05-05	Piątek	Bieganie	65	30	146	173					10	04:33	12,4	Tlen + sprinty 10x100m		
		2023-05-05	Piątek	Siłownia	30	20										Ręce		
		2023-05-06	Sobota 	Bieganie	135	50	146	166					838	05:34	19,5	Lasek 	Cały trening w ulewie i po mega błocie	
		2023-05-07	Niedziela	Bieganie	65	30	140	145					12	04:31	12,3	Tlen		
		2023-05-08	Poniedziałek	Bieganie	80		147	170					487	05:32	10,5	Kopiec x 6	Czuję dosyć mocno prawą kostkę po wewnętrznej stronie
		2023-05-08	Poniedziałek	Siłownia	30	120										Ręce		
		2023-05-10	Środa	Bieganie	80		144	178					6	04:37	14,2	rozruch 3km+4x200(34sek)/200+2x400(1.12)/400truchtu+1x800(tempo 3.10)/2 min odpoczynku+2x400/400+4x200/200+1-2km truchtu	Czuję delikatnie prawą kostkę po wewnętrznej stronie 	
		2023-05-10	Środa	Siłownia	35	30										Ręce		
		2023-05-11	Czwartek	Rower	140	60	140	165	84	273		140	1062	28,2	66	Wytrzymałość siłowa po górkach		
		2023-05-12	Piątek	Bieganie	90	40	143	149					13	04:28	18,3	Tlen		
		2023-05-13	Sobota 	Bieganie	135	50	150	172					902	05:05	20,1	Lasek 	KOM	
		2023-05-14	Niedziela	Rower	155		135	157	84	267		155	1276	28	70	Tlen po górkach 	Niskie tętno po wczorajszym bieganiu	
		2023-05-15	Poniedziałek	Bieganie	80		146	168					524	05:16	11,6	Kopiec x 7
		2023-05-15	Poniedziałek	Siłownia	35	30										Ręce		
		2023-05-16	Wtorek	Rower	90	140	127	144	82	246		73	760	24,2	34	Tlen - 6 x Zoo	Niskie tętno	
		2023-05-17	Środa	Siłownia	35	80										Ręce		
		2023-05-18	Czwartek	Bieganie	65	50	144	178					6	04:23	12,3	Rozruch 3-4km + 400m@1'10 + 600m@3:05 + 2x800m@3:15 + 600m@3:05 + 400m@1'08, wszystko na przerwach 1,5min+3km BS	Bardzo szybkie bieganie, wyrównana najszybsza 400tka ever - 1'08
		2023-05-19	Piątek	Bieganie	80	40							13	04:25	16,2	Tlen		
		2023-05-20	Sobota 	Bieganie	145	50	153	168					987	05:20	22,2	Lasek 		
		2023-05-22	Poniedziałek	Rower	100		143	166	86	298		125	1085	26	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Suma interwałów: 47min, HR/W: 156/351, 157/351, 157/350, 158/351, 159/352, 159/353, 159/350, 159/353
		2023-05-22	Poniedziałek	Siłownia	40	30										Ręce + łydki 		
		2023-05-23	Wtorek	Bieganie	70	40	151	173					6	04:11	14	3km BS + 8x1km@3:25 / 1min + 3km BS	Trening w pełnym słońcu, w miarę komfortowe interwały	
		2023-05-25	Czwartek	Bieganie	75	90	149	168					3	04:13	16,2	BS 3km+3x3km(tempo 3.40)/2min odpoczynku+2kmBS	Dosyć komfortowe interwały, na dużej świeżości. Rozbieganie 4km na niskim tętnie 	
		2023-05-25	Czwartek	Siłownia	40	50										Ręce + łydki 		
		2023-05-26	Piątek	Bieganie	80	30	147	167					450	05:32	9,9	Kopiec x 6		
		2023-05-27	Sobota	Rower	130	30	134	156	83	261		128	1100	27,4	59	Tlen po górkach 		
		2023-05-28	Niedziela	Góry	110								402			Gorce - Maciejowa 		
		2023-05-28	Niedziela	Bieganie	75	30	158	174					738	05:30	13,6	Bieganie po Gorcach 	2 razy KOM, wieczorem kiepsko ze stopą	
		2023-05-29	Poniedziałek	Siłownia	45	100										Ręce + łydki 	REHABILITACJA - stopa
		2023-05-30	Wtorek	Bieganie	70	110	147	172					6	04:15	12,2	3km BS + 6x1km@3:25 / 1min + 3km BS	Wieczorem bardzo kiepsko ze stopą	
		2023-05-31	Środa	Bieganie	65	20	142	168					6	04:26	12	8km BS + 6x200@34s/200 + 2km BS	Dosyć komfortowe interwały, na dużej świeżości. Rozbieganie 4km na niskim tętnie 	
		2023-05-31	Środa	Siłownia	45											Ręce		
		2023-06-01	Czwartek	Rower	75	30	139	149	85	228		53	164	34,9	43	Tlen na czasówce 		
		2023-06-03	Sobota	Bieganie	160	30	162	175					1621	07:00	20,5	2xBabia Góra Sky Race	9 open, 2 w kategorii, powinno być 6 open i pierwsze w kategorii, gdyby nie zeszła mi skóra z pięty po tym jak wpadłem stopami do wody. Ostatnie 3km zbiegalem wolno, z dużym bólem, wtedy minęły mnie 3 osoby. Poza tym powinienem biec w innych butach z większą amortyzacją, bo na zbiegach było bardzo słabo.	
		2023-06-04	Niedziela	Rower	155	30	130	153	84	241		128	1161	30	76	Tlen na czasówce 		
		2023-06-05	Poniedziałek	Rower	90	30	132	140	82	220		60	39	36	51	Tlen na czasówce
		2023-06-05	Poniedziałek	Siłownia	50	60										Ręce + dynamika 	Na drugi dzień po drążku bardzo mocno czuję prawy odcinek lędźwiowy i z boku pleców	
		2023-06-07	Środa	Bieganie	55		144	148					6	04:37	10,2	Tlen		
		2023-06-08	Czwartek	Rower	165	30	133	153	83	243		134	1476	27,8	74	Tlen po górkach 		
		2023-06-09	Piątek	Bieganie	70	25	144	170					0	04:25	13	Rozruch 7km + 10x300m (90% maks - 3:00) / 1min odpoczynku + 1km spokojnie	Tlen 7km (4:18/143)	
		2023-06-10	Sobota 	Bieganie	115	40	157	174					1150	05:55	16,8	Beskid Niski - 3 razy Kornuty, ćwiczenie zbiegania 	KOM i czas na zbiegu poprawiony o 1'20	
		2023-06-11	Niedziela	Siłownia	40											Ręce + kosz		
		2023-06-11	Niedziela 	Rower	120		125	144	82	238		96	1163	26,7	52	Rege po górkach 	Niskie tętno	
		2023-06-12	Poniedziałek 	Bieganie	75		140	145					6	04:34	14,2	Tlen
		2023-06-12	Poniedziałek	Siłownia	45	40										Ręce + dynamika 		
		2023-06-13	Wtorek	Bieganie	80	110	141	175					6	04:36	13,6	4x(500@3:20/1min + 400@1'12/1min + 200@34s/1min)	Boli mnie lewa stopa	
		2023-06-14	Środa	Siłownia	60	10										Ręce + dynamika		
		2023-06-15	Czwartek	Bieganie	75	20	152	172					12	04:11	13,4	Rozruch 3km+6km(tempo 3.40) + 4kmBS	gorąco, boli mnie lewa stopa od początku, po bieganiu bardzo źle, 6km@3:40/166 - bardzo wysokie tętno	
		2023-06-17	Sobota	Rower	110	100	143	166	86	298		125	1085	26	43	Wytrzymałość siłowa - podjazdy pod zoo - 9x7min	Bardzo kiepski dzień, wysokie tętno, brak mocy, boli mnie lewa stopa	
		2023-06-18	Niedziela	Bieganie	160	30	155	175					1126	05:45	20,8	Lasek - podbiegi 6x150m	Bardzo kiepski dzień, wysokie tętno, gorąco, boli mnie lewa stopa od początku, pod koniec bardzo źle, później też źle 	
