		2021-01-01	Piątek	Bieganie	50	20	143	151					89	04:50	10.1	Tlen	Niższe tętno niż ostatnio, bardzo delikatnie czuję stopę podczas biegania	https://connect.garmin.com/modern/activity/6035878054
		2021-01-15	Piątek	Siłownia	45											Ręce + core			
		2021-01-15	Piątek	Bieganie	95	30	150	170					450	05:03	18.4	Tlen lasek	Śnieg, Lekko czuję kostkę	https://connect.garmin.com/modern/activity/6111331431	
		2021-01-16	Sobota	Skitury	210	10	119	150					769		13.5	Gorce - Hala Turbacza	Lekko czuję kostkę i udo po skiturach	https://connect.garmin.com/modern/activity/6115730301	https://www.strava.com/activities/4628918880
		2021-01-17	Niedziela	Skitury	150	10	118	161					410		10.5	Gorce - Tobołów z Szymkiem	Lekko czuję kostkę i udo po skiturach	https://connect.garmin.com/modern/activity/6122342406	https://www.strava.com/activities/4635777670
		2021-01-18	Poniedziałek	Skitury	210		127	163					970		16.1	Przełęcz pod Kopą	Lekko czuję kostkę i udo po skiturach	https://connect.garmin.com/modern/activity/6128935253	https://www.strava.com/activities/4642512427
		2021-01-19	Wtorek	Siłownia	105	15										Nogi + core			
		2021-01-20	Środa	Bieganie	110	20	146	158					495	05:17	20,9	Tlen Lasek - 20km	Niższe tętno niz ostatnio, Czuję kostkę od 17km, po bieganiu znacznie gorzej, wieczorem mocno czuję	https://connect.garmin.com/modern/activity/6138748076	https://www.strava.com/activities/4652354415
		2021-01-21	Czwartek	Siłownia	80											Ręce + core			
		2021-01-22	Piątek	Bieganie	70	20	147	174					295	05:11	13	Siła biegowa - 12km	Wysokie tętno - niewyspany, na bieganiu nie czuję kostki, lepiej niż ostatnio na sile biegowej, wieczorem lekko czuję kostkę	https://connect.garmin.com/modern/activity/6148646427	
		2021-01-23	Sobota	Bieganie	65	20	153	174					4	04:25	14,1	 Rozruch 3km i 5-6x1,5km(tempo 3.40-45)/odpoczynek 1-1,5min	Prawie nie czuję stopy podczas interwałów, całkiem dobry trening	https://connect.garmin.com/modern/activity/6154947139	
		2021-01-24	Niedziela	Narty	80	15							83		17.4	Tobołów z Szymkiem	Czuję prawą łydkę - przeciążona	https://connect.garmin.com/modern/activity/6159641943	https://www.strava.com/activities/4673694035
		2021-01-25	Poniedziałek	Siłownia	75											Ręce + core
		2021-01-26	Wtorek	Bieganie	45	20	151	165					11	04:21	10.1	BS 4km+6km w II zakresie (tętno do 160 - 165 maks) +1km truchtu	Czuję prawą łydkę - przeciążona	https://connect.garmin.com/modern/activity/6169848496	
		2021-01-27	Środa	Siłownia	80											Ręce + core			
		2021-01-28	Czwartek	Skitury	165	15	145	167					1092		17	Kopa Kondracka	Czuję prawą łydkę - przeciążona	https://connect.garmin.com/modern/activity/6180367832	https://www.strava.com/activities/4694454089
		2021-01-29	Piątek	Bieganie	100	20	147	165					448	05:06	19	Lasek	Niższe tętno niż ostatnio, od 14km czuję lewą kostkę, wieczorem mocno czuję kostkę	https://connect.garmin.com/modern/activity/6185667733	https://www.strava.com/activities/4699854535
		2021-01-30	Sobota	Skitury	90	10	146	164					1133		10.6	Chyrowa x 6		https://connect.garmin.com/modern/activity/6190768629	https://www.strava.com/activities/4704977101
		2021-01-31	Niedziela	Skitury	200	10	121	154					913		14.2	Rawki		https://connect.garmin.com/modern/activity/6197421713	https://www.strava.com/activities/4711900219
		2021-02-01	Poniedziałek	Skitury	215	10	117	151					1001		17,3	Wielka Bukowa + Jaworzyna		https://connect.garmin.com/modern/activity/6202173403	https://www.strava.com/activities/4716693222
		2021-02-02	Wtorek	Siłownia	75											Ręce + core			
		2021-02-03	Środa	Bieganie	60	20	150	166					12	04:23	12.6	BS 4km+6km w II zakresie (tętno do 160 - 165 maks) +1km truchtu	Tempo identyczne, jak tydzień temu	https://connect.garmin.com/modern/activity/6213127588	
		2021-02-04	Czwartek	Bieganie	55	20	138	143					10	04:44	10.6	Tlen		https://connect.garmin.com/modern/activity/6218216102	
		2021-02-05	Piątek	Siłownia	90											Nogi + core			
		2021-02-06	Sobota	Narty	35										10,4	Kasina z Szymkiem		https://connect.garmin.com/modern/activity/6228695673	https://www.strava.com/activities/4743677802
		2021-02-06	Sobota	Bieganie	65	10	143	170					208	05:17	11.2	Siła biegowa - 12km	Pod koniec treningu czuję dosyć mocno kostkę	https://connect.garmin.com/modern/activity/6229805819	
		2021-02-07	Niedziela	Bieganie	105	20	143	164					404	05:16	17,6	Lasek - 20km		https://connect.garmin.com/modern/activity/6235781807	https://www.strava.com/activities/4751039659
		2021-02-08	Poniedziałek	Siłownia	90											Nogi + core
		2021-02-09	Wtorek	Bieganie	50	15	149	165					11	04:24	11	BS 4km+6km w II zakresie (tętno do 160 - 165 maks) +1km truchtu	Cały bieg po śniegu, tętno niższe niż tydzień temu - 6km/4:01/160	https://connect.garmin.com/modern/activity/6244909696	
		2021-02-10	Środa	Bieganie	105	15	149	170					491	05:02	19.9	Lasek	Od 14km mocno czuję lewą kostkę, wieczorem bardzo słabo	https://connect.garmin.com/modern/activity/6250811124	https://www.strava.com/activities/4765897261
		2021-02-11	Czwartek	Siłownia	75											Ręce + core			
		2021-02-12	Piątek	Bieganie	55	20	140	145					82	04:42	11	Tlen	Bieg po śniegu	https://connect.garmin.com/modern/activity/6260469125	
		2021-02-13	Sobota	Skitury	240	10	125	158					1140		17.6	Paportna		https://connect.garmin.com/modern/activity/6266355675	https://www.strava.com/activities/4781439807
		2021-02-14	Niedziela	Skitury	140	10	140	156					1281		12.8	Magura x 5	Wypadek, mocno stłuczone lewe udo i prawe kolano	https://connect.garmin.com/modern/activity/6270893894	https://www.strava.com/activities/4786029916
		2021-02-15	Poniedziałek	Pływanie	65										2100	Technika		https://connect.garmin.com/modern/activity/6276399123
		2021-02-16	Wtorek	Siłownia	80											Nogi + core			
		2021-02-17	Środa	Bieganie	55	20	146	169					15	04:21	12.3	BS 3km+6km w II zakresie (tętno do 160 - 165 maks) +1km truchtu	Tętno niższe niż tydzień temu - 6km/3:58/156	https://connect.garmin.com/modern/activity/6286784256	
		2021-02-18	Czwartek	Siłownia	80											Ręce + core			
		2021-02-19	Piątek	Bieganie	45	10	143	146					9	04:38	8.7	Tlen		https://connect.garmin.com/modern/activity/6296612816	
		2021-02-20	Sobota	Skitury	170	10	148	174					1112		21.1	Spytkowice		https://connect.garmin.com/modern/activity/6303235150	https://www.strava.com/activities/4818642456
		2021-02-21	Niedziela	Pływanie	45										1700	Technika		https://connect.garmin.com/modern/activity/6311160217	
		2021-02-22	Poniedziałek	Bieganie	55	20	151	170					12	04:12	12.2	BS 3km+6km w II zakresie (tętno do 160 - 165 maks) +1km truchtu	6km/3:48/162, pod koniec czuję kostkę	https://connect.garmin.com/modern/activity/6314666689
		2021-02-23	Wtorek	Siłownia	75											Ręce + core			
		2021-02-24	Środa	Skitury	180		132	159					1274		16	Pośredni Goryczkowy Wierch		https://connect.garmin.com/modern/activity/6327046399	https://www.strava.com/activities/4842644478
		2021-02-25	Czwartek	Rower	105	10	139	169	86	228		80,3	637	29,8	50	Tlen	Czujnik mocy źle zamontowany	https://connect.garmin.com/modern/activity/6331711278	https://www.strava.com/activities/4847410650
		2021-02-26	Piątek	Bieganie	65	20	145	171					228	05:00	13	Siła biegowa - 12km	Wieczorem mocno czuję kostkę	https://connect.garmin.com/modern/activity/6337273359	
		2021-02-27	Sobota	Siłownia	90											Nogi + core			
		2021-02-28	Niedziela	Skitury	180		140	169					1088		17	Kopa + Przełęcz Kondracka		https://connect.garmin.com/modern/activity/6349736418	https://www.strava.com/activities/4867065215
		2021-02-28	Niedziela	Pływanie	50										1700	Technika		https://connect.garmin.com/modern/activity/6352007681	
		2021-03-01	Poniedziałek	Pływanie	70										2600	Base Aerobic - 2x(400+300+200+100) / 15s - pullboy cały trening	Dobre czucie wody, dobre tempo	https://connect.garmin.com/modern/activity/6355757628
		2021-03-02	Wtorek	Rower	100	20	141	170	88	233		80	585	30,7	50	Tlen	Czujnik mocy źle zamontowany	https://connect.garmin.com/modern/activity/6360663244	https://www.strava.com/activities/4876947116
		2021-03-03	Środa	Skitury	365	10	138	175					1801		26.7	Kozi + Kostur		https://connect.garmin.com/modern/activity/6367978080	https://www.strava.com/activities/4884409376
		2021-03-04	Czwartek	Siłownia	80											Ręce + core			
		2021-03-05	Piątek	Bieganie	60	20	150	175					10	04:21	13.3	 Rozruch 3km i 5-6x1,5km(tempo 3.40-45)/odpoczynek 1-1,5min	97 dni treningowych pod rząd - REKORD, wieczorem mocno czuję kostkę, jest źle	https://connect.garmin.com/modern/activity/6377689027	
		2021-03-07	Niedziela	Skitury	235		142	167					1285		19	Krzyżne		https://connect.garmin.com/modern/activity/6389604787	https://www.strava.com/activities/4906536893
		2021-03-07	Niedziela	Pływanie	50										1600	Technika		https://connect.garmin.com/modern/activity/6392160351	
		2021-03-08	Poniedziałek	Pływanie	70										2800	Base Aerobic - (3x400+2x300+5x200) / 10s - pullboy cały trening	Dobre czucie wody, dobre tempo	https://connect.garmin.com/modern/activity/6395981425
		2021-03-09	Wtorek	Siłownia	75											Ręce + core			
		2021-03-10	Środa	Skitury	180	10	154	172					1581		23.7	Beskid x 3	KOM z Brzezin na Hale, bardzo mocny trening	https://connect.garmin.com/modern/activity/6406061031	https://www.strava.com/activities/4923137205
		2021-03-11	Czwartek	Rower	60	10	143	162	86	252		70	46	32.4	30	Sweet spot - 2x13min	Czujnik mocy źle zamontowany	https://connect.garmin.com/modern/activity/6411891180	https://www.strava.com/activities/4928869865
		2021-03-12	Piątek	Bieganie	60	20	145	152						04:26	10	Tlen	Wieczorem mocno czuję kostkę, jest źle	https://connect.garmin.com/modern/activity/6417091441	
		2021-03-12	Piątek	Siłownia	75											Nogi + core			
		2021-03-13	Sobota	Rower	60	10	144	163	85	241		61,9	46	33.7	35	Sweet spot - 2x15min	Czujnik mocy źle zamontowany	https://connect.garmin.com/modern/activity/6423535480	https://www.strava.com/activities/4940640063
		2021-03-14	Niedziela	Pływanie	60										2000	CSS - 15x100m/13s @ 1:45	Całkiem dobre tempo jak na pierwszy jakościowy trening od września, cały dzień czuję stopę	https://connect.garmin.com/modern/activity/6430592584	
		2021-03-15	Poniedziałek	Rower	70	10	145	160	85	299		75	49	34.5	40	Sweet spot - 18min + 20min	Dobry trening, jeszcze trochę wysokie tętno, ale czuje moc w nogach, HR/W: 154/325, 155/330	https://connect.garmin.com/modern/activity/6434096223	https://www.strava.com/activities/4951195746
		2021-03-16	Wtorek	Siłownia	75											Ręce + core	Fizjoterapia		
		2021-03-17	Środa	Bieganie	55	20	141	146					10	04:35	10.8	Test wkładek, 10km tlen	2 razy podczas biegu na początku czuję ukłucie w po prawej stronie pięty, pod koniec biegu czuję lewą kostkę z obydwu stron. Wieczorem inaczej niż ostatnio, na drugi dzień gorzej, czuję wyraźnie podczas dotykania i trochę podczas chodzenia.	https://connect.garmin.com/modern/activity/6445104398	
		2021-03-18	Czwartek	Pływanie	60										2200	CSS - 15x100m/13s @ 1:45	Gorzej niż ostatnio	https://connect.garmin.com/modern/activity/6450014190	
		2021-03-19	Piątek	Skitury	230	15	156	176					1979		27.6	Kasprowy + 2xBeskid	Najmocniejsze skitur ever	https://connect.garmin.com/modern/activity/6455597882	https://www.strava.com/activities/4972930001
		2021-03-20	Sobota	Rower	70	10	138	153	85	303		80	43	33.4	38	Sweet spot - 2x20min	Najlepszy trening sweet spot ever, HR/W: 146/330, 148/335	https://connect.garmin.com/modern/activity/6461377919	https://www.strava.com/activities/4978827109
		2021-03-21	Niedziela	Skitury	210		114	155					815		13	Goryczkowa z Szymkiem		https://connect.garmin.com/modern/activity/6468870961	https://www.strava.com/activities/4986845273
		2021-03-22	Poniedziałek	Rower	70	10	138	158	82	298		77,5	47	33.1	38	Sweet spot - 2x20min	Rewelacyjny trening, Trochę wyższe tętno niż ostatnio, HR/W: 149/330, 152/335	https://connect.garmin.com/modern/activity/6473377583	https://www.strava.com/activities/4991291171
		2021-03-23	Wtorek	Siłownia	75											Ręce + core			
		2021-03-24	Środa	Siłownia	70											Nogi	Fizjoterapia		
		2021-03-25	Czwartek	Bieganie	50	10	143	151						04:39	10.4	Test wkładek	Wysokie tętno, pod koniec biegania czuję kostkę z obydwu stron, na drugi dzień słabo	https://connect.garmin.com/modern/activity/6490682224	
		2021-03-26	Piątek	Skitury	335		133	168					1390		24.5	Kostur		https://connect.garmin.com/modern/activity/6496528235	https://www.strava.com/activities/5014959840
		2021-03-27	Sobota	Skitury	305		124	175					1422		23.2	Zadni Granat		https://connect.garmin.com/modern/activity/6501665867	https://www.strava.com/activities/5020309374
		2021-03-28	Niedziela	Rower	90	10	137	164	83	293		99,3	747	27	41	Wytrzymałość siłowa - podjazdy pod zoo - 5x6-7min	Suma interwałów: 33min, HR/W: 151/352, 152/353, 154/357, 155/358, 156/359	https://connect.garmin.com/modern/activity/6507488020	https://www.strava.com/activities/5026125745
		2021-03-29	Poniedziałek	Siłownia	75	15										Nogi
		2021-03-30	Wtorek	Siłownia	65											Gumy + ręce			
		2021-03-31	Środa	Rower	80	25	147	175	83	298		91,9	748	27	36	Wytrzymałość siłowa - podjazdy pod zoo - 5x6-7min	Bardzo wysokie tętno, Suma interwałów: 31min, HR/W: 160/352, 162/354, 164/350, 165/356, 166/361 	https://connect.garmin.com/modern/activity/6524647638	https://www.strava.com/activities/5043402423
		2021-04-01	Czwartek	Rower	65	25	148	168	84	287		66,5	46	34.1	36	Sweet spot - 18min + 20min	Bardzo wysokie tętno, HR/W: 160/320, 163/320	https://connect.garmin.com/modern/activity/6530381442	https://www.strava.com/activities/5049209798
		2021-04-01	Czwartek	Rower	35		105	155					63		10	Rege na ścianke		https://connect.garmin.com/modern/activity/6531578510	
		2021-04-02	Piątek	Rower	130		99	142	79	151		37,7	449	22.2	48	Rege z Anią		https://connect.garmin.com/modern/activity/6537532069	https://www.strava.com/activities/5056478611
		2021-04-03	Sobota	Siłownia	65											Gumy + ręce + core			
		2021-04-04	Niedziela	Rower	95	10	136	155	85	255	1,95	77,2	654	29.9	46	Tlen		https://connect.garmin.com/modern/activity/6549023579	https://www.strava.com/activities/5068357731
		2021-04-05	Poniedziałek	Skitury	250	15	142	166					1681		19.5	Beskid razy 2 + Pośredni Goryczkowy		https://connect.garmin.com/modern/activity/6555339327	https://www.strava.com/activities/5074662285
		2021-04-06	Wtorek	Siłownia	75											Gumy + ręce + core			
		2021-04-07	Środa	Bieganie	50	10	138	150					101	04:46	10.1	Test wkładek	W ogóle nie czuję stopy podczas biegania, wieczorem gorzej, na drugi dzień troszkę lepiej, ale czuję podczas dotykania	https://connect.garmin.com/modern/activity/6565342535	
		2021-04-08	Czwartek	Siłownia	60											Gumy + ręce + core			
		2021-04-10	Sobota	Rower	110	20	141	173	81	265		94,7	1032	24,3	43	Tlen	Przeziębiony, osłabiony, bardzo wysokie tętno	https://connect.garmin.com/modern/activity/6581551752	https://www.strava.com/activities/5101295426
		2021-04-11	Niedziela	Skitury	190	20	147	174					1713		18	Goryczkowa	Przeziębiony, osłabiony	https://connect.garmin.com/modern/activity/6587756916	https://www.strava.com/activities/5107579075
		2021-04-11	Niedziela	Bieganie	45	10	133	138					10	05:06	8	Rege	Przeziębiony, osłabiony, Delikatnie czuję stopę podczas biegania, po bieganiu trochę gorzej	https://connect.garmin.com/modern/activity/6589659760	
		2021-04-12	Poniedziałek	Rower	75	20	142	161	82	286		73,8	56	34.3	41	Sweet spot - 2x20min	Nogi zmęczone po skiturach, HR/W: 155/320, 156/320	https://connect.garmin.com/modern/activity/6594848853	https://www.strava.com/activities/5114732071
		2021-04-13	Wtorek	Bieganie	50	15	142	151					10	04:30	10	Tlen	Bez wkładek - czuję stopę praktycznie cały dystans	https://connect.garmin.com/modern/activity/6598355601	
		2021-04-13	Wtorek	Siłownia	50											Gumy + ręce			
		2021-04-14	Środa	Siłownia	85											Nogi + core			
		2021-04-15	Czwartek	Bieganie	55	10	142	151					68	04:35	11.2	Tlen - 12km	Dużo lepiej z wkładkami, po bieganiu trochę czuję stopę	https://connect.garmin.com/modern/activity/6611920437	
		2021-04-16	Piątek	Skitury	315		129	165					1887		25	Kasprowy x 2 + Przełęcz pod Kopą	Po skiturach trochę czuję stopę	https://connect.garmin.com/modern/activity/6617314268	https://www.strava.com/activities/5137520310
		2021-04-17	Sobota	Bieganie	55		136	143					10	04:37	10.1	Regeneracja		https://connect.garmin.com/modern/activity/6621373106	
		2021-04-18	Niedziela	Rower	110	20	141	168	84	304		124,9	1128	26.1	46	Wytrzymałość siłowa - podjazdy pod zoo - 9x6min	Dosyć wysokie tętno na mega kacu, Suma interwałów: 58min, HR/W: 151/352, 155/351, 151/350, 155/353, 156/351, 157/352, 157/352, 157/352, 158/352	https://connect.garmin.com/modern/activity/6630187471	https://www.strava.com/activities/5150688592
		2021-04-19	Poniedziałek	Siłownia	80											Gumy + ręce + core
		2021-04-20	Wtorek	Rower	70		148	166	86	285		72	45	33,4	39	Zakładka - Sweet spot - 2x20min	Lekko przeziębiony, bardzo wysokie tętno, HR/W: 159/320, 161/320	https://connect.garmin.com/modern/activity/6639537333	https://www.strava.com/activities/5159857349
		2021-04-20	Wtorek	Bieganie	30	30	157	167					10	03:58	7.5	Zakładka - 7km na tętno 160	Lekko przeziębiony, bardzo wysokie tętno, 7km/3:56/158	https://connect.garmin.com/modern/activity/6639795589	
		2021-04-21	Środa	Rower	110	20	132	150	83	241	1.88	80,7	659	28.2	51	Tlen		https://connect.garmin.com/modern/activity/6646257570	https://www.strava.com/activities/5166533382
		2021-04-22	Czwartek	Bieganie	55	20	153	175					6	04:11	12	 Rozruch 3km i 5-6x1,5km(tempo 3.40-45)/odpoczynek 1-1,5min	Bardzo wysokie tętno, lekko przeziebiony, czuję stopę pod koniec każdego interwału, ogólnie słabo	https://connect.garmin.com/modern/activity/6651669101	
		2021-04-23	Piątek	Siłownia	65											Ręce + core	Cały dzień czuję stopę		
		2021-04-24	Sobota	Rower	100	20	149	176	86	305		115,3	1042	26.9	44	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Cały dzień czuję stopę, Lekko przeziębiony, bardzo wysokie tętno, suma interwałów: 54min, HR/W: 160/352, 162/350, 164/351, 165/350, 164/352, 166/363, 166/356, 165/ 352	https://connect.garmin.com/modern/activity/6664457719	https://www.strava.com/activities/5184678698
		2021-04-25	Niedziela	Siłownia	60											Gumy + Ręce + core	Cały dzień czuję stopę, jest źle		
		2021-04-26	Poniedziałek	Rower	65	20	146	167	83	288		68,1	42	34.4	37	Sweet spot - 2x20min	FIZJOTERAPIA, Lekko przeziębiony, tętno troszkę niższe niż tydzień temu, HR/W: 157/320, 158/320	https://connect.garmin.com/modern/activity/6676375349	https://www.strava.com/activities/5196459203
		2021-04-27	Wtorek	Skitury	250	15	118	159					1301		17	Beskid + Kasprowy	Na drugi dzień po fizjo troszkę lepiej	https://connect.garmin.com/modern/activity/6681261174	https://www.strava.com/activities/5201317561
		2021-04-28	Środa	Skitury	250		149	173					2226		22	Pośredni + Skrajna + Beskid x2 + Goryczkowa	Po skiturach czuję mocno stopę	https://connect.garmin.com/modern/activity/6687446818	https://www.strava.com/activities/5207406742
		2021-04-29	Czwartek	Bieganie	50	10	142	150					12	04:33	10.4	Tlen	Na bieganiu prawie nic nie czuję, po bieganiu nie jest źle	https://www.strava.com/activities/5207406742	
		2021-04-29	Czwartek	Siłownia	45											Ręce + core			
		2021-04-30	Piątek	Siłownia	60											Ręce + core	FIZJOTERAPIA		
		2021-05-01	Sobota	Rower	100	25	144	171	85	310		120,3	1045	26.5	43	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Nadal dosyć wysokie tętno, Suma interwałów: 58min, HR/W: 157/351, 157/354, 160/359, 160/357, 160/360, 160/359, 161/360, 161/361	https://connect.garmin.com/modern/activity/6703604700	https://www.strava.com/activities/5223158221
		2021-05-02	Niedziela	Rower	125	25	136	149	86	245	1.84	94,3	643	31.8	65	Tlen	Czuję stopę nawet na rowerze	https://connect.garmin.com/modern/activity/6710042355	https://www.strava.com/activities/5229711283
		2021-05-03	Poniedziałek	Bieganie	40	10	40	149					81	04:46	8	Rege	Od początku treningu czuję stopę, jest bardzo źle, nie jestem w stanie zrobić skipów ani podskoków na łydkach, po treninigu jeszcze gorzej	https://connect.garmin.com/modern/activity/6715890906
		2021-05-04	Wtorek	Rower	90	20	135	152	84	241	1.84	67,2	338	31.3	47	Tlen		https://connect.garmin.com/modern/activity/6721008099	www.strava.com/activities/5240223722
		2021-05-04	Wtorek	Siłownia	40											Ręce + core			
		2021-05-05	Środa	Rower	105	20	146	173	84	303		121,4	1137	26.6	46	Wytrzymałość siłowa - podjazdy pod zoo - 9x6min	Bardzo wysokie tętno, suma interwałów: 56min, HR/W:159/351, 162/351, 163/350, 164/350, 163/351, 164/358, 163/351, 164/353, 164/352	https://connect.garmin.com/modern/activity/6726550964	https://www.strava.com/activities/5245626915
		2021-05-06	Czwartek	Skitury	220	20	147	170					1949		20	Beskid x3 + Kasprowy		https://connect.garmin.com/modern/activity/6732133519	https://www.strava.com/activities/5251085596
		2021-05-07	Piątek	Rower	85	5	114	129	82	190		38	217	28.1	39	Regeneracja	Niskie tętno	https://connect.garmin.com/modern/activity/6737486202	https://www.strava.com/activities/5256368031
		2021-05-08	Sobota	Rower	75	20	146	164	84	298		81,9	45	34.7	42	Sweet spot - 2x20min	Znacznie lepiej, niż kilka ostatnich treningów, HR/W: 156/330, 158/335	https://connect.garmin.com/modern/activity/6744513336	https://www.strava.com/activities/5263106772
		2021-05-09	Niedziela	Skitury	240	15	108	165					1116		15	Kasprowy z Szymkiem		https://connect.garmin.com/modern/activity/6751515515	https://www.strava.com/activities/5269986382
		2021-05-10	Poniedziałek	Rower	120	20	131	151	84	243	1.91	89	548	31.1	61	Tlen	Niskie tętno, czuję nogi po skiturach	https://connect.garmin.com/modern/activity/6755404034	https://www.strava.com/activities/5273478121
		2021-05-11	Wtorek	Rower	120	20	152	177	87	288		123,3	1092	31.4	61	Tempo po górkach	Gorąco (+30)	https://connect.garmin.com/modern/activity/6761236266	https://www.strava.com/activities/5279139275
		2021-05-12	Środa	Rower	130	25	142	166	86	268	1.93	117,8	605	33,3	71	Tlen + tempo	Dobry trening	https://connect.garmin.com/modern/activity/6766601915	https://www.strava.com/activities/5284468905
		2021-05-12	Środa	Siłownia	60											Ręce + core			
		2021-05-13	Czwartek	Rower	75		114	127	86	178		29,6	45	28,7	35	Regeneracja		https://connect.garmin.com/modern/activity/6771274064	https://www.strava.com/activities/5289055992
		2021-05-14	Piątek	Rower	70	5	148	166	84	303		76,2	45	34,7	38	Sweet spot - 2x20min	Lekko podwyższone tętno, ale czuję moc w nogach, HR/W: 157/330, 160/335	https://connect.garmin.com/modern/activity/6777831360	https://www.strava.com/activities/5295415871
		2021-05-15	Sobota	Siłownia	70											Gumy + ręce + core			
		2021-05-16	Niedziela	Rower	100	5	145	174	85	320		121,6	1001	26,9	42	Wytrzymałość siłowa - podjazdy pod zoo - 8x6min	Czuję moc w nogach, suma interwałów: 48min, HR/W: 159/365, 162/369, 163/368, 162/369, 164/373, 163/369, 163/369, 164/374	https://connect.garmin.com/modern/activity/6791018835	https://www.strava.com/activities/5308389998
		2021-05-17	Poniedziałek	Siłownia	80											Gumy + ręce + core
		2021-05-19	Środa	Rower	120	5	132	150	85	235	1.80	70,9	277	31,9	58	Tlen	Dzień po szczepieniu, jeszcze trochę osłabiony	https://connect.garmin.com/modern/activity/6806402513	https://www.strava.com/activities/5323404371
		2021-05-20	Czwartek	Rower	110	20	146	175	86	286		113,3	1017	30.1	55	Tempo	Dobry trening	https://connect.garmin.com/modern/activity/6812522607	https://www.strava.com/activities/5329334767
		2021-05-21	Piątek	Rower	120	5	137	157	85	247	1.87	88,4	303	32,9	63	Tlen		https://connect.garmin.com/modern/activity/6817277038	https://www.strava.com/activities/5333922221
		2021-05-22	Sobota	Siłownia	70											Ręce + core			
		2021-05-23	Niedziela	Siłownia	75											Gumy + ręce + core			
		2021-05-24	Poniedziałek	Rower	110	25	150	179	85	308		130,1	1127	26,9	48	Wytrzymałość siłowa - podjazdy pod zoo - 9x6min	Mega wysokie tętno, suma interwałów: 54min, HR/W: 	https://connect.garmin.com/modern/activity/6834277024	https://www.strava.com/activities/5350204882
		2021-05-25	Wtorek	Siłownia	70											Gumy + ręce + core			
		2021-05-26	Środa	Rower	100	5	130	150	85	223	1.77	62,2	251	31,4	51	Tlen	Słaby dzień, wysokie tętno	https://connect.garmin.com/modern/activity/6846188882	https://www.strava.com/activities/5361703936
		2021-05-27	Czwartek	Rower	70	15	154	172	85	295		72,3	40	33,7	37	Sweet spot - 2x20min	Czuję moc w nogach, ale tętno mega wysokie, HR/W: 164/325, 166/330	https://connect.garmin.com/modern/activity/6850818187	https://www.strava.com/activities/5366291257
		2021-05-28	Piątek	Rower	110	20	151	175	86	308		132,5	853	30,2	54	Tempo po górkach	Wysokie tętno, FIZJOTERAPIA	https://connect.garmin.com/modern/activity/6856419820	https://www.strava.com/activities/5371759937
		2021-05-28	Piątek	Siłownia	60											Ręce + core			
		2021-05-29	Sobota	Siłownia	40											Ręce + core			
		2021-05-29	Sobota	Pływanie	65										2300	Base Aerobic - 2x(300+200+100) / 15s - pullboy cały trening		https://connect.garmin.com/modern/activity/6862095463	
