		2024-01-02	Wtorek	Rower	115	40	150	174	91	260		107	836	28,1	52	Wytrzymałość siłowa 10*7min	Przeziębiony, pierwszy raz nie czuję kolana, dzisiaj mniej mocy w lewej nodze, balans 46/54. Po treningu czuję kolano po wewnętrznej stronie.
		2024-01-25	Czwartek	Siłownia	70											Ręce + core + pośladki + łydki 	Od rana mocno czuję nerw, po krótkim rowerze w ciągu dnia już nie czuję. 	
		2024-01-26	Piątek	Narty 	60	40									17	Magura z dziećmi	Rano mocno czuję nerw przez chwilę. Po nartach troszkę czuję kolano. Wieczorem jest bardzo źle ze stopą - mocno czuję nerw	
		2024-01-27	Sobota	Skitury 	215	40	136	177					1222		12,8	Rawki z Szymkiem 	Rano czuję nerw, na skiturach czuję kolano po zewnętrznej stronie, z tyłu. Wieczorem jest bardzo źle ze stopą, mocno czuję nerw. Najgorzej jest jak siedzę.	
		2024-01-28	Niedziela	Bieganie	50	30	149	159					640	06:00	8.3	Bieżnia, 40min 10%, @6:15 + 10min@5:10	Od rana mocno czuję nerw. Na bieganiu ostatnie 5 minut czuję kolano głównie po wewnętrznej stronie. Wieczorem trochę czuję kolano. Po bieganiu przestaje czuć stopę, dopiero zaraz przed spaniem, po tym jak siedziałem 2h znowu czuję nerw.	
		2024-01-29	Poniedziałek	Siłownia	60	40										Ręce + core + pośladki + łydki 	Rano lekko czuję nerw, po rowerze jest lepiej. Dzisiaj mocno czuję kolano po bieganiu.
		2024-01-30	Wtorek	Siłownia	70	160										Nogi	Od rana czuję nerw, po rowerze jest lepiej. Trochę lepiej z kolanem. 5 x (Suwnica była razy 6 - 180/195/210/210/210/210kg 12-15 powtórzeń, wykroki 2x10x20kg, lewy pośladek - 2 ćwiczenia, łydki na Suwnicy 125kg po 15 powtórzeń). Po siłowni trochę czuję kolano. REHABILITACJA - średnio pomogło	
		2024-01-31	Środa	Bieganie	45		158	169					620	06:23	6.3	Bieżnia, 40min 10%, @6:15	Od rana czuję mocno nerw, po rowerze lepiej. Jeszcze trochę czuję kolano. Na bieganiu od początku czuję kolano po wewnętrznej stronie, po bieganiu jest bardzo źle - czuję mocno podczas chodzenia po schodach.	
		2024-01-31	Środa	Siłownia	60	120										Ręce + core		
		2024-02-03	Sobota	Skitury 	120	50	139	163					1056		10	Spytkowice x 8	We czwartek mocno czuję kolano, najgorzej podczas chodzenia po schodach. Ze stopą jest dużo lepiej. Po dwóch dniach odpoczynku jest trochę lepiej z kolanem, ale na skiturach czuję dosyć mocno, skróciłem trening.	
		2024-02-05	Poniedziałek	Siłownia	60	140										Ręce + core + łydki 	Stopy już prawie w ogóle nie czuję rano. Z kolanem delikatnie lepiej rano, potem gorzej, potem znowu lepiej. WTOREK - REHABILITACJA + SAUNA, po tej wizycie dużo lepiej z kolanem
		2024-02-07	Środa	Siłownia	70	80										Nogi	Lepiej z kolanem. 6 x (Suwnica 180/195/210/210/210/210kg 12 powtórzeń, krzesełko 20kg, łydka - stabilizacja z kettlem na jednej nodze - tylko 3 razy, łydki na Suwnicy 125kg po 15 powtórzeń). Na siłowni trochę czuję kolano, mocno z tyłu po zewnętrznej stronie 	
		2024-02-08	Czwartek	Siłownia	80	60										Ręce + core	REHABILITACJA, trochę czuję kolano, stopy nie czuję	
		2024-02-10	Sobota	Narty 	140	130									32	Val di Fassa 	Rano bardzo delikatne czuję stopę, coraz bardziej czuję bliznę od sterydu. Na nartach trochę czuję kolano. Po nartach wieczorem już lepiej.	
		2024-02-11	Niedziela	Narty 	125	130									25	Val di Fassa 	Rano bardzo delikatne czuję stopę, coraz bardziej czuję bliznę od sterydu. Na nartach trochę czuję kolano.	
		2024-02-12	Poniedziałek	Narty 	160	100							180		34	Val di Fassa - freeride 	Na nartach w ogóle nie czuję kolana, bardzo mocno czuję uda, zapalenie stopy po sterydzie, jest jeszcze gorzej niż wczoraj
		2024-02-13	Wtorek	Narty 	150	30									26	Val di Fassa  - freeride 	Nie czuję kolana, ze stopą coraz gorzej - coraz bardziej spuchnięta 	
		2024-02-14	Środa	Narty 	85	60									22	Val di Fassa - freeride 	Stan podgorączkowy, ze stopą coraz gorzej, odpuściłem 2 ostatnie dni. W sobotę wizyta w szpitalu, dostałem Zinnat. Do poniedziałku coraz gorzej. CRP wyszło 45. 	
		2024-02-22	Czwartek	Siłownia	75	90										Ręce + core + łydki 	Od poniedziałku powoli coraz lepiej. Dwie wizyty u Urbana - pon. i środa. W poniedziałek dostałem sącznik, a we środę pompę Vivano Tec Pro. Dzisiaj rano lepiej z Achillesem niż wczoraj.
